peder5,30,79388,10612
noel,32,92029,10371
peder2,10,9050,950
peder3,10,10175,-175
peder7,10,10714,-714
peder6,10,11456,-1456
peder1,15,24063,-1563
peder,10,11805,-1805
peder4,10,12217,-2217
peder7,10,13682,-3682
